DATE,LFWA64TTDEQ647S
2005-01-01,54692964.9540316
2005-04-01,54802708.135570206
2005-07-01,54818817.9501868
2005-10-01,54742308.960211396
2006-01-01,54639725.891133696
2006-04-01,54585363.9277676
2006-07-01,54415963.4126987
2006-10-01,54531846.768399894
2007-01-01,54159187.8066652
2007-04-01,54244434.9635626
2007-07-01,54226316.230024196
2007-10-01,54285660.9997479
2008-01-01,54164800.593904994
2008-04-01,53983005.6351529
2008-07-01,54150368.10655101
2008-10-01,53965825.664390996
2009-01-01,54061338.8274427
2009-04-01,53858331.737870194
2009-07-01,53501268.899519496
2009-10-01,53628960.5351676
2010-01-01,52644561.2380417
2010-04-01,52410470.671671905
2010-07-01,52314043.5994442
2010-10-01,52229024.4908422
2011-01-01,52359922.2424951
2011-04-01,52302660.218731396
2011-07-01,52336418.5147395
2011-10-01,52256799.024034
2012-01-01,52528629.8263688
2012-04-01,52449784.2541921
2012-07-01,52515476.1422818
2012-10-01,52454209.7771573
2013-01-01,52564399.6199195
2013-04-01,52599359.0183894
2013-07-01,52551390.4159089
2013-10-01,52591250.9457822
2014-01-01,52694699.1901124
2014-04-01,52691738.022879295
2014-07-01,52731561.720485695
2014-10-01,52799201.0665226
2015-01-01,52725134.960884094
2015-04-01,52898566.5579144
2015-07-01,52955955.7432398
2015-10-01,53275742.7379616
2016-01-01,53718803.9183686
2016-04-01,53811899.4721644
2016-07-01,53778466.395146996
2016-10-01,53900230.21432
2017-01-01,53747809.120985
2017-04-01,53852607.294715494
2017-07-01,53920703.4440271
2017-10-01,53668480.1402725
2018-01-01,53610386.7313302
2018-04-01,53590752.9882562
2018-07-01,53518193.0481882
2018-10-01,53375067.2322254
2019-01-01,53513153.176696405
2019-04-01,53460028.5838058
2019-07-01,53486080.4168719
2019-10-01,53709237.822625995
2020-01-01,53540180.278037295
2020-04-01,53460518.571194604
2020-07-01,53250214.797226205
2020-10-01,52885986.353541896
2021-01-01,53102860.5872592
2021-04-01,53066682.6438832
2021-07-01,52904515.6840841
2021-10-01,52794141.0847735
2022-01-01,53069862.7912781
2022-04-01,53327113.809854
2022-07-01,53289574.111262195
2022-10-01,53444949.287605695
