año,PIB,C,G,I ,X,IM
2024,"1483,00","832,80","296,50","321,90","612,50","580,80"
2023,"1412,90","794,50","285,40","300,50","585,00","552,50"
2022,"1327,10","756,90","272,50","279,10","551,40","532,70"
2021,"1206,80","678,80","258,60","251,50","421,60","403,70"
2020,"1118,00","627,30","246,30","228,10","344,30","328,10"
2019,"1245,50","714,50","234,90","259,40","434,80","398,20"
2018,"1203,90","699,50","225,30","246,40","423,10","390,40"
2017,"1162,50","678,10","217,00","225,50","408,40","366,50"
2016,"1114,40","648,30","212,90","208,90","377,40","333,00"
2015,"1078,10","630,20","210,40","204,70","362,40","329,60"
2014,"1032,60","612,70","203,10","184,80","345,60","313,60"
2013,"1020,70","601,70","203,20","175,70","336,30","296,20"
2012,"1031,10","613,70","206,00","190,10","324,30","303,00"
2011,"1063,80","622,10","219,90","218,80","314,20","311,20"
2010,"1072,70","623,10","221,30","239,20","278,40","289,40"
2009,"1069,30","608,70","220,70","249,20","246,60","255,90"
2008,"1109,50","637,50","208,90","315,70","284,30","336,90"
2007,"1075,50","619,80","190,40","327,40","279,50","341,60"
2006,"1003,80","579,90","174,30","306,80","253,40","310,50"
2005,"927,40","538,70","160,70","272,50","231,60","276,20"
2004,"859,40","500,60","147,60","243,10","218,40","250,20"
2003,"802,30","464,70","134,60","220,70","205,60","223,30"
2002,"749,60","439,90","124,60","200,00","199,00","214,00"
2001,"701,00","415,50","116,00","185,50","195,30","211,20"
2000,"647,90","386,20","108,20","172,60","185,00","204,20"
1999,"595,70","355,10","100,00","152,10","157,00","168,50"
1998,"553,30","330,20","93,30","132,40","144,40","147,00"
1997,"520,80","313,60","88,60","117,80","133,70","132,80"
1996,"506,40","306,20","88,50","112,50","116,60","117,50"
1995,"470,20","286,70","82,80","105,90","102,60","107,90"
1994,"447,20","275,80","79,40","96,80","90,80","95,40"
1993,"448,10","277,30","82,20","96,20","79,40","86,20"
1992,"487,40","302,10","86,80","117,30","78,90","96,50"
1991,"466,80","286,20","79,00","121,50","73,60","92,00"
1990,"422,60","259,50","68,70","113,40","66,50","84,00"
1989,"376,50","233,30","59,60","100,40","62,50","78,20"
1988,"318,40","196,50","48,80","80,70","55,10","61,80"
1987,"276,80","173,00","42,90","64,10","49,10","51,50"
1986,"256,10","160,00","38,40","55,60","46,60","43,90"
1985,"238,10","150,60","36,20","49,60","49,70","47,60"
1984,"218,60","139,00","32,60","45,00","46,60","44,20"
1983,"192,30","125,00","29,10","41,80","36,70","39,80"
1982,"200,20","131,40","29,50","45,20","34,00","39,10"
1981,"182,40","120,30","26,50","41,40","29,70","34,80"
1980,"167,40","109,70","22,80","40,80","23,90","28,90"
1979,"157,90","102,10","20,20","36,90","21,50","22,10"
1978,"127,50","81,70","15,60","30,60","17,50","17,50"
1977,"116,80","76,30","13,80","30,60","15,40","18,40"
1976,"107,00","70,50","12,40","30,10","13,30","18,60"
1975,"94,50","61,00","10,20","28,20","11,60","15,70"
1974,"82,20","53,00","8,40","26,00","10,70","15,10"
1973,"64,30","41,10","6,30","18,30","8,50","9,40"
1972,"53,20","34,10","5,20","14,40","7,00","7,30"
1971,"45,00","29,00","4,50","11,60","5,80","5,70"
1970,"40,50","26,10","3,90","11,40","4,90","5,50"
1969,"36,60","23,40","3,40","10,90","4,00","4,90"
1968,"31,80","21,10","3,00","8,80","3,20","4,10"
1967,"31,10","20,90","3,00","8,70","2,60","3,80"
1966,"27,90","18,90","2,50","8,20","2,40","3,80"
1965,"24,10","16,50","2,10","7,00","1,90","3,20"
1964,"20,70","14,10","1,70","5,70","1,80","2,40"
1963,"18,40","12,60","1,60","5,00","1,40","2,10"
1962,"15,60","10,50","1,30","4,30","1,20","1,60"
1961,"13,50","9,20","1,10","3,30","1,10","1,20"
1960,"12,00","8,20","1,00","2,50","1,00","0,80"
