High-technology-exports,GDP-per-capita,Foreign-direct-investment,Gross-capital-formation,Patent-applications-residents
650978244,10439.428464249,7.80847450812375,22.34802267387,403
656550691,10752.9723000388,10.2820620579305,28.8969424712342,531
475672104,10151.058524965,8.08290794623581,22.920007922655,343
541747269,12724.10406267,7.37875779906166,24.775467656778,328
554586780,14577.6326608147,10.1761207803096,26.6462967159419,339
578351153,15354.6184041413,11.7406680867172,28.7913494665394,336
696148309,15777.7815089667,8.011284138948,27.4969587973855,340
731379019,14606.9967241905,9.08156108127186,25.1580934170755,452
579468220,13495.0106099649,8.61007333492019,25.5994379459738,443
720583779,13690.9074621215,4.94532193818291,23.7087902931148,386
634211636,14962.5568471791,2.21729324037261,22.6366699629063,425
667732448,15772.333484425,2.62680355492942,24.2030784243597,406
672133557,14699.4627808048,4.51805365073962,25.0545675853493,438
1368056902,13220.5707580419,3.37438737478297,21.6343815382506,372
1264181379,16502.8385709035,5.0617786819,25.3235616573613,402
